"","x"
"86","BOSCALID"
"87","COPPER"
"88","COPPER OCTANOATE"
"89","COPPER OXYCHLORIDE"
"90","COPPER OXYCHLORIDE S"
"91","COPPER SULFATE"
"92","CUPROUS OXIDE"
"93","CYCLOATE"
"94","CYFLUFENAMID"
"95","CYPRODINIL"
"96","DIAZINON"
"97","DIMETHOMORPH"
"98","DINOTEFURAN"
"99","EPTC"
"100","FENBUCONAZOLE"
"101","FENHEXAMID"
"102","FENPROPATHRIN"
"103","FLONICAMID"
"104","FLUOXASTROBIN"
"105","FLUTRIAFOL"
"106","HYDROGEN PEROXIDE"
"107","INDAZIFLAM"
"108","INDOXACARB"
"109","IPRODIONE"
"110","ISOXABEN"
"111","MANDIPROPAMID"
"112","METAM"
"113","METHOXYFENOZIDE"
"114","METRAFENONE"
"115","NAPROPAMIDE"
"116","NORFLURAZON"
"117","OXATHIAPIPROLIN"
"118","OXYFLUORFEN"
"119","OXYTETRACYCLINE"
"120","PENTHIOPYRAD"
"121","PETROLEUM OIL"
"122","PHENMEDIPHAM"
"123","PHOSMET"
"124","PYMETROZINE"
"125","PYRAFLUFEN ETHYL"
"126","PYRETHRINS"
"127","PYRIDABEN"
"128","PYRIPROXYFEN"
"129","SPINETORAM"
"130","SPIRODICLOFEN"
"131","SPIROMESIFEN"
"132","STREPTOMYCIN"
"133","SULFOXAFLOR"
"134","THIACLOPRID"
"135","TOPRAMEZONE"
"136","TRIFLUMIZOLE"
"137","ZIRAM"
"138","ZOXAMIDE"
"139","CHLOROPICRIN"
"140","DICLOFOP"
"141","ALDICARB"
"142","AZADIRACHTIN"
"143","AZINPHOS-METHYL"
"144","BACILLUS CEREUS"
"145","BENFLURALIN"
"146","BENZOVINDIFLUPYR"
"147","CYCLANILIDE"
"148","CYPERMETHRIN"
"149","CYTOKININ"
"150","DELTAMETHRIN"
"151","DICHLOROPROPENE"
"152","DICHLORPROP"
"153","DICLOSULAM"
"154","DICOFOL"
"155","DICROTOPHOS"
"156","DIFLUBENZURON"
"157","DODINE"
"158","EMAMECTIN"
"159","ETHEPHON"
"160","FENAMIPHOS"
"161","FENPYROXIMATE"
"162","FENTIN"
"163","FLUBENDIAMIDE"
"164","FLUOMETURON"
"165","FLUOPYRAM"
"166","FLUTOLANIL"
"167","GIBBERELLIC ACID"
"168","IMAZAPIC"
"169","KRESOXIM-METHYL"
"170","MCPA"
"171","MECOPROP"
"172","MEPIQUAT"
"173","METHYL PARATHION"
"174","MSMA"
"175","NOVALURON"
"176","PHORATE"
"177","PICOXYSTROBIN"
"178","PROMETRYN"
"179","PROPARGITE"
"180","PYRITHIOBAC-SODIUM"
"181","SEDAXANE"
"182","SODIUM CHLORATE"
"183","SULFCARBAMIDE"
"184","SULFOSULFURON"
"185","TCMTB"
"186","TETRACONAZOLE"
"187","THIDIAZURON"
"188","THIODICARB"
"189","THIRAM"
"190","TRIADIMENOL"
"191","TRIBUFOS"
"192","TRIFLOXYSULFURON"
"193","ZINC"
"194","CARBOXIN"
"195","FLUPYRADIFURONE"
"196","IBA"
"197","ORYZALIN"
"198","FLURIDONE"
"199","IPCONAZOLE"
"200","MANEB"
"201","PINOXADEN"
"202","PYROXSULAM"
"203","FERBAM"
"204","MESOSULFURON"
"205","6-BENZYLADENINE"
"206","DISULFOTON"
"207","IMAZAPYR"
"208","METIRAM"
"209","NAPHTHYLACETIC ACID"
"210","FLORASULAM"
"211","FLUCARBAZONE"
"212","FLUFENACET"
"213","HALAUXIFEN"
"214","ACEQUINOCYL"
"215","ACIBENZOLAR"
"216","ALLYL ISOTHIOCYANATE"
"217","AMETRYN"
"218","ASULAM"
"219","BACILLUS AMYLOLIQUEFACIEN"
"220","BACILLUS PUMILIS"
"221","BACTERIOPHAGE"
"222","BROMACIL"
"223","BUPROFEZIN"
"224","BURKHOLDERIA SPP"
"225","CALCIUM POLYSULFIDE"
"226","CHENOPODIUM AMBROSIOIDES"
"227","CHROMOBACTERIUM SUBTSUGAE"
"228","CRYOLITE"
"229","CYANTRANILIPROLE"
"230","CYFLUMETOFEN"
"231","CYROMAZINE"
"232","DECAN-1-OL"
"233","DIMETHYL DISULFIDE"
"234","ETHOPROPHOS"
"235","ETOXAZOLE"
"236","FENBUTATIN OXIDE"
"237","FIPRONIL"
"238","FLUMETRALIN"
"239","FOSETYL"
"240","HARPIN PROTEIN"
"241","HEXAZINONE"
"242","HYDRATED LIME"
"243","ISOFETAMID"
"244","KAOLIN CLAY"
"245","MALEIC HYDRAZIDE"
"246","METAM POTASSIUM"
"247","METHAMIDOPHOS"
"248","METHYL BROMIDE"
"249","NALED"
"250","NEEM OIL"
"251","POLYOXORIM"
"252","POTASSIUM OLEATE"
"253","PYRIMETHANIL"
"254","QUINTOZENE"
"255","REYNOUTRIA SACHALINENSIS"
"256","SPIROTETRAMAT"
"257","STREPTOMYCES LYDICUS"
"258","TEBUFENOZIDE"
"259","TETRABOROHYDRATE"
"260","THIAZOPYR"
"261","TOLFENPYRAD"
"262","TRINEXAPAC"
"263","FENAMIDONE"
"264","PIPERONYL BUTOXIDE"
"265","FATTY ALCOHOLS"
"266","FORAMSULFURON"
"267","AVIGLYCINE"
"268","DICHLOBENIL"
"269","FENARIMOL"
"270","NAPHTHYLACETAMIDE"
"271","PROHEXADIONE"
"272","BUTRALIN"
"273","CLODINAFOP"
"274","CYDIA POMONELLA"
"275","DCPA"
"276","DICLORAN"
"277","ETHOFUMESATE"
"278","FENOXAPROP"
"279","FORMETANATE"
"280","HEXYTHIAZOX"
"281","HYMEXAZOL"
"282","IMAZALIL"
"283","IMAZAMETHABENZ"
"284","ISARIA FUMOSOROSEA"
"285","KASUGAMYCIN"
"286","MCPB"
"287","OXYDEMETON-METHYL"
"288","PAECILOMYCES LILACINUS"
"289","POTASSIUM BICARBONATE"
"290","PROPOXYCARBAZONE"
"291","PSEUDOMONAS FLUORESCENS"
"292","PYRASULFOTOLE"
"293","SULFURIC ACID"
"294","TRI-ALLATE"
"295","TRIASULFURON"
"296","TRIFLUSULFURON"
"297","QUINCLORAC"
"298","TRITICONAZOLE"
"299","1-METHYL CYCLOPROPENE"
"300","CHLORETHOXYFOS"
"301","IODOSULFURON"
"302","TEBUPIRIMPHOS"
"303","TEBUTHIURON"
"304","CONIOTHYRIUM MINITANS"
"305","PASTEURIA NISHIZAWAE"
"306","ETHABOXAM"
"307","METALDEHYDE"
"308","PINOLENE"
"309","ASPERGILLUS FLAVUS"
"310","PROPAZINE"
"311","CLOFENTEZINE"
"312","ETRIDIAZOLE"
"313","BENSULFURON"
"314","BISPYRIBAC"
"315","CYHALOFOP"
"316","IMAZOSULFURON"
"317","ORTHOSULFAMURON"
"318","PENOXSULAM"
"319","PROPANIL"
"320","THIOBENCARB"
"321","FLUENSULFONE"
"322","DESMEDIPHAM"
"323","TOLCLOFOS-METHYL"
"324","TRALKOXYDIM"
"325","ABSCISIC ACID"
"326","BLAD PROTEIN"
"327","CYANAMIDE"
"328","FLAZASULFURON"
"329","GLIOCLADIUM VIRENS"
"330","MYROTHECIUM VERRUCARIA"
"331","PROPYZAMIDE"
"332","BEAUVERIA BASSIANA"
"333","BACILLUS MYCOIDES"
"334","POLYHEDROSIS VIRUS"
"335","AUREOBASIDIUM PULLULANS"
"336","TETRATHIOCARBONATE"
"337","SABADILLA"
"338","CPPU"
"339","FENAZAQUIN"
"340","METHIDATHION"
"341","POTASSIUM SILICATE"
"342","PROHYDROJASMON"
"343","SUCROSE OCTANOATE"
"344","NAPTALAM"
"345","ALUMINUM PHOSPHIDE"
"346","COPPER SULFATE TRIBASIC"
"347","DITHIOPYR"
"348","KINOPRENE"
"349","OXADIAZON"
"350","PETROLEUM DISTILLATE"
"351","PRODIAMINE"
"352","SILICATES"
"353","TRIFORINE"
"354","NOSEMA LOCUSTAE CANN"
"355","CHLORFENAPYR"
"356","DAZOMET"
"357","DIMETHYL ARSINIC ACID"
"358","FLUVALINATE TAU"
"359","PELARGONIC ACID"
"360","RESMETHRIN"
"361","SULFOMETURON"
"362","BURKHOLDERIA CEPACIA"
"363","DINOSEB"
"364","HYDRAMETHYLNON"
"365","TRIADIMEFON"
"366","CHLORPROPHAM"
"367","DAMINOZIDE"
"368","ETHION"
"369","METHIOCARB"
"370","PACLOBUTRAZOL"
"371","PROPOXUR"
"372","CHLORMEQUAT"
"373","ENDOTHAL"
"374","GALLEX"
"375","GAMMA AMINOBUTYRIC ACID"
"376","L-GLUTAMIC ACID"
"377","METHOXYCHLOR"
"378","MEVINPHOS"
"379","PARATHION"
"380","PHOSPHAMIDON"
"381","THIABENDAZOLE"
"382","UNICONAZOLE"
"383","GARLIC JUICE"
"384","SULFOSATE"
"385","BENOMYL"
"386","DIENOCHLOR"
"387","FOLPET"
"388","PROMETON"
"389","DIETHATYL"
"390","DINOCAP"
"391","ROTENONE"
"392","CHINOMETHIONAT"
"393","FENOXYCARB"
"394","VINCLOZOLIN"
"395","AMITROLE"
"396","SODIUM METABORATE"
"397","RYANODINE"
"398","EPN"
"399","CARBOPHENOTHION"
"400","TERBUTRYN"
"401","LINDANE"
"402","BUTYLATE"
"403","ZINEB"
"404","CHLORONEB"
"405","CINNAMALDEHYDE"
"406","DIPHENAMID"
